Complain,IsActiveMember,Age,Gender,Balance,Point Earned,Geography,NumOfProducts,Exited
1,1,0.3243243243243243,0,0.0,464,0,0.0,1
1,1,0.3108108108108108,0,0.334031478677259,456,2,0.0,0
1,0,0.3243243243243243,0,0.6363571759354565,377,0,0.6666666666666667,1
0,0,0.2837837837837838,0,0.0,350,0,0.3333333333333333,0
0,1,0.3378378378378379,0,0.5002462155052676,425,2,0.0,0
1,0,0.35135135135135137,1,0.45339436422174445,484,2,0.3333333333333333,1
0,1,0.4324324324324324,1,0.0,206,0,0.3333333333333333,0
1,0,0.14864864864864863,0,0.4585397202505608,282,1,1.0,1
0,1,0.35135135135135137,1,0.5661703921301275,251,0,0.3333333333333333,0
0,1,0.12162162162162166,1,0.5364882610306042,342,0,0.0,0
0,0,0.1756756756756757,1,0.4066062041365082,264,0,0.3333333333333333,0
0,0,0.08108108108108109,1,0.0,249,2,0.3333333333333333,0
0,0,0.21621621621621623,0,0.0,119,0,0.3333333333333333,0
0,0,0.09459459459459457,0,0.0,549,0,0.3333333333333333,0
0,1,0.22972972972972977,0,0.0,318,2,0.3333333333333333,0
0,1,0.36486486486486486,1,0.5704683124530762,308,1,0.3333333333333333,0
0,0,0.5405405405405406,1,0.5285129113577549,163,1,0.0,1
0,1,0.08108108108108109,0,0.0,544,2,0.3333333333333333,0
0,0,0.36486486486486486,1,0.0,732,2,0.0,0
0,1,0.08108108108108109,0,0.0,477,0,0.3333333333333333,0
0,1,0.3108108108108108,1,0.0,568,0,0.3333333333333333,0
0,0,0.1891891891891892,0,0.0,336,2,0.3333333333333333,0
1,0,0.27027027027027034,0,0.0,887,2,0.0,1
0,1,0.37837837837837845,1,0.0,665,0,0.3333333333333333,0
0,1,0.27027027027027034,0,0.0,225,0,0.0,0
0,1,0.09459459459459457,1,0.0,659,0,0.3333333333333333,0
0,1,0.24324324324324326,1,0.5453036330408096,236,1,0.0,0
0,0,0.35135135135135137,1,0.0,448,0,0.3333333333333333,0
0,1,0.3378378378378379,0,0.5633738782148561,499,1,0.0,0
0,1,0.14864864864864863,1,0.23793393564693938,343,0,0.3333333333333333,0
1,0,0.2837837837837838,0,0.0,298,2,0.6666666666666667,1
0,1,0.24324324324324326,1,0.3400253066892618,628,0,0.0,0
0,0,0.3108108108108108,1,0.43887356814872525,611,1,0.3333333333333333,0
0,1,0.3243243243243243,0,0.0,922,2,0.3333333333333333,0
0,1,0.14864864864864863,0,0.0,276,2,0.3333333333333333,0
1,0,0.36486486486486486,0,0.5351337668612783,877,0,0.0,1
0,1,0.1756756756756757,1,0.5789610833625718,471,2,0.0,0
0,1,0.2027027027027027,1,0.3050983767951363,994,2,0.0,0
0,1,0.24324324324324326,1,0.0,944,0,0.0,0
0,1,0.3108108108108108,1,0.28039065582364536,419,1,0.3333333333333333,0
0,0,0.2972972972972973,1,0.0,545,2,0.0,0
1,0,0.445945945945946,0,0.48833500486193426,828,0,0.0,1
0,1,0.5810810810810811,0,0.46799618920973063,789,0,0.0,0
1,0,0.4189189189189189,0,0.5236969320890407,567,0,0.0,1
0,1,0.5810810810810811,0,0.6214918176539327,884,2,0.0,0
0,1,0.1891891891891892,0,0.4361178277602672,296,1,0.3333333333333333,0
1,1,0.12162162162162166,0,0.4465784095845449,779,1,0.0,1
1,1,0.2837837837837838,0,0.5494015518412276,730,1,0.0,1
0,1,0.27027027027027034,1,0.4120851617483418,960,1,0.0,0
0,0,0.25675675675675674,0,0.4135911118334939,268,1,0.3333333333333333,0
0,0,0.35135135135135137,1,0.4637873887361997,829,1,0.3333333333333333,0
0,0,0.24324324324324326,1,0.5821127215436356,665,1,0.3333333333333333,0
0,0,0.2027027027027027,0,0.0,982,0,0.3333333333333333,0
1,0,0.3108108108108108,1,0.5004500831393337,343,1,0.0,1
1,0,0.3243243243243243,1,0.3925726178306101,225,1,0.0,1
0,1,0.3378378378378379,1,0.49905489515683443,657,0,0.0,0
0,0,0.36486486486486486,1,0.5096268369360644,221,0,0.0,0
0,0,0.013513513513513542,1,0.3024662324053563,406,1,0.0,0
1,0,0.6486486486486487,0,0.0,549,2,0.0,1
0,1,0.445945945945946,1,0.16216113881137956,954,0,0.0,0
0,0,0.22972972972972977,1,0.5454684808481405,823,1,0.0,0
0,0,0.12162162162162166,0,0.6071344743995462,769,1,0.3333333333333333,0
0,0,0.2027027027027027,1,0.2235357391520996,481,2,0.3333333333333333,0
0,1,0.5135135135135136,1,0.31370171052318496,903,2,0.0,0
0,1,0.10810810810810811,1,0.4351024354151122,882,1,0.0,0
1,1,0.24324324324324326,0,0.6768941923790652,379,1,0.3333333333333333,0
1,0,0.21621621621621623,0,0.4050769776685028,469,1,0.0,0
